location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,admin_level,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm1+code,#adm1+name,#adm+level,#indicator+mpi,#indicator+headcount_ratio,#indicator+intensity_of_deprivation,#indicator+vulnerable_to_poverty,#indicator+in_severe_poverty,#date+start,#date+end
IND,FALSE,FALSE,,,,0,0.2827,55.0742,51.3271,17.0205,27.7771,2005-01-01,2006-12-31
IND,FALSE,FALSE,,,,0,0.1217,27.6781,43.9622,18.9196,8.7151,2015-01-01,2016-12-31
IND,FALSE,FALSE,,,,0,0.0688,16.3928,41.9761,18.6869,4.2454,2019-01-01,2021-12-31
IND,FALSE,FALSE,Andaman & Nicobar Islands,,,1,0.0142,3.6708,38.6353,10.1618,0.4575,2019-01-01,2021-12-31
IND,FALSE,FALSE,Andhra Pradesh,,,1,0.2356,49.8836,47.2247,18.6133,21.5491,2005-01-01,2006-12-31
IND,FALSE,FALSE,Andhra Pradesh,,,1,0.0631,15.4135,40.9613,19.2037,3.1922,2015-01-01,2016-12-31
IND,FALSE,FALSE,Andhra Pradesh,,,1,0.0278,7.1138,39.1028,16.0771,0.9091,2019-01-01,2021-12-31
IND,FALSE,FALSE,Arunachal Pradesh,,,1,0.3128,59.9419,52.192,15.6431,32.0036,2005-01-01,2006-12-31
IND,FALSE,FALSE,Arunachal Pradesh,,,1,0.1076,24.3453,44.1993,20.3356,7.5592,2015-01-01,2016-12-31
IND,FALSE,FALSE,Arunachal Pradesh,,,1,0.0541,13.2061,40.9441,18.4609,2.7448,2019-01-01,2021-12-31
IND,FALSE,FALSE,Assam,,,1,0.3171,61.6816,51.407,17.4676,32.4914,2005-01-01,2006-12-31
IND,FALSE,FALSE,Assam,,,1,0.1615,36.184,44.6449,20.3578,12.1818,2015-01-01,2016-12-31
IND,FALSE,FALSE,Assam,,,1,0.0899,21.4105,41.9974,21.6924,5.4333,2019-01-01,2021-12-31
IND,FALSE,FALSE,Bihar,,,1,0.4484,77.3747,57.9579,11.4109,50.7506,2005-01-01,2006-12-31
IND,FALSE,FALSE,Bihar,,,1,0.2475,52.4125,47.2213,19.2104,22.3667,2015-01-01,2016-12-31
